 zeta2/L_fil Omega_SH Omega_SH/Omega_SH0 ISHf/ISHf u/dU
 -0.2851177705029830E+001 -0.4333355044255869E+003 -0.8084986373555647E-001  0.2847214836923916E-001  0.2962981676040955E+000
 -0.2744960326751236E+001 -0.4464853140524876E+003 -0.8330329832751938E-001  0.2724731697113248E-001  0.3082499407922636E+000
 -0.2643921565343055E+001 -0.4587937085608278E+003 -0.8559974532676050E-001  0.2594750004563160E-001  0.3209377134446967E+000
 -0.2547477871846564E+001 -0.4701289393932105E+003 -0.8771462365740647E-001  0.2664642619913000E-001  0.3322679199604678E+000
 -0.2455135938197958E+001 -0.4846874016039618E+003 -0.9043087855440307E-001  0.2734772921853919E-001  0.3428099793196212E+000
 -0.2366474889688444E+001 -0.5021784359048489E+003 -0.9369428006519137E-001  0.2711277947214961E-001  0.3535761093453156E+000
 -0.2281132659227008E+001 -0.5212524516953463E+003 -0.9725302741407467E-001  0.2604336763886024E-001  0.3635364576036211E+000
 -0.2198795417376278E+001 -0.5415598965381643E+003 -0.1010419026195244E+000  0.2596812941419566E-001  0.3736287306600434E+000
 -0.2119189270711276E+001 -0.5639228266043446E+003 -0.1052142813655843E+000  0.2680384012416940E-001  0.3842196380065871E+000
 -0.2042073668056044E+001 -0.5896540080846102E+003 -0.1100150938888784E+000  0.2877904511712775E-001  0.3939772709572917E+000
 -0.1967236109316446E+001 -0.6151266860715980E+003 -0.1147676759487252E+000  0.3048450806726125E-001  0.4037768319238165E+000
 -0.1894487859556550E+001 -0.6425095445886166E+003 -0.1198766512281121E+000  0.3140055861675070E-001  0.4134593824373057E+000
 -0.1823660447245902E+001 -0.6695751346860235E+003 -0.1249264319383228E+000  0.3185102089068832E-001  0.4232904376315005E+000
 -0.1754602780308218E+001 -0.6957829470541319E+003 -0.1298161721906876E+000  0.3199237786350086E-001  0.4333297984268651E+000
 -0.1687178753360829E+001 -0.7223182798443365E+003 -0.1347670197865003E+000  0.3164336958141718E-001  0.4435750760128039E+000
 -0.1621265248790119E+001 -0.7495833879441420E+003 -0.1398540257024511E+000  0.3096788065159327E-001  0.4540268558112341E+000
 -0.1556750456082945E+001 -0.7773648756439129E+003 -0.1450373754902210E+000  0.3050335558176434E-001  0.4646779989457112E+000
 -0.1493532450213090E+001 -0.8047191418602780E+003 -0.1501410161418469E+000  0.3011416682812638E-001  0.4754952679741924E+000
 -0.1431517982324093E+001 -0.8301334391937966E+003 -0.1548827057919336E+000  0.3006575427203524E-001  0.4864551520895939E+000
 -0.1370621445488756E+001 -0.8528154806506021E+003 -0.1591146229607283E+000  0.3014936113885087E-001  0.4975269667796230E+000
 -0.1310763985701541E+001 -0.8707398915781739E+003 -0.1624588820076654E+000  0.2986914086113657E-001  0.5086242163441073E+000
 -0.1251872734009593E+001 -0.8816693063802643E+003 -0.1644980449390058E+000  0.2862617124917762E-001  0.5196810333195192E+000
 -0.1193880140203451E+001 -0.8840097743552903E+003 -0.1649347193285395E+000  0.2580869799598701E-001  0.5306132199003292E+000
 -0.1136723392060015E+001 -0.8741249445423898E+003 -0.1630904505454367E+000  0.2125753492050471E-001  0.5412239555410356E+000
 -0.1080343906973821E+001 -0.8501879977887713E+003 -0.1586243985752879E+000  0.1459868313307070E-001  0.5513537688091383E+000
 -0.1024686885090945E+001 -0.8096008455620691E+003 -0.1510518232994795E+000  0.5524825575962281E-002  0.5608290027762679E+000
 -0.9697009148958486E+000 -0.7480320909105568E+003 -0.1395645914130891E+000 -0.6087311044591796E-002  0.5692510977766064E+000
 -0.9153376236893416E+000 -0.6607987908733746E+003 -0.1232889796776556E+000 -0.2048794001677451E-001  0.5762938430622463E+000
 -0.8615513666077443E+000 -0.5442721525985064E+003 -0.1015479436216003E+000 -0.3818654386748187E-001  0.5816377224013162E+000
 -0.8082989488253308E+000 -0.3936933951046811E+003 -0.7345361047670160E-001 -0.5735351391326581E-001  0.5847160441617759E+000
 -0.7555393763976995E+000 -0.2039376686649801E+003 -0.3804980795184786E-001 -0.7604903186721589E-001  0.5849930847700646E+000
 -0.7032336318771474E+000  0.2993947584489678E+002  0.5585977880078274E-002 -0.9275660299127265E-001  0.5819403001542293E+000
 -0.6513444713891425E+000  0.3110256897920979E+003  0.5802982765347526E-001 -0.1038504764881455E+000  0.5749834258826950E+000
 -0.5998362403231051E+000  0.6403595817073982E+003  0.1194755204548249E+000 -0.1021428361650948E+000  0.5635469723824357E+000
 -0.5486747051777497E+000  0.1021312294657224E+004  0.1905520295733455E+000 -0.8092760115887841E-001  0.5470445051411217E+000
 -0.4978268994248501E+000  0.1457592776396364E+004  0.2719513544356119E+000 -0.3065328966680049E-001  0.5248359709922356E+000
 -0.4472609815263519E+000  0.1933163994657283E+004  0.3606813749399682E+000  0.4556913721071718E-001  0.4968348136132782E+000
 -0.3969461034670273E+000  0.2436757226454963E+004  0.4546396215022058E+000  0.1475567724326720E+000  0.4627958068796412E+000
 -0.3468522883554743E+000  0.2959711436881666E+004  0.5522101556982907E+000  0.2765440193699118E+000  0.4222831818096377E+000
 -0.2969503158059099E+000  0.3483347078749585E+004  0.6499078284246942E+000  0.4233628385622328E+000  0.3754754900343437E+000
 -0.2472116139465934E+000  0.3979404846082469E+004  0.7424601406267403E+000  0.5722343320930506E+000  0.3231847045930502E+000
 -0.1976081570115598E+000  0.4423943095668489E+004  0.8254001640894251E+000  0.7106266447094526E+000  0.2657868947931828E+000
 -0.1481123675637535E+000  0.4790336457476657E+004  0.8937602524580661E+000  0.8237070422157670E+000  0.2034087027860669E+000
 -0.9869702247200426E-001  0.5075400560450591E+004  0.9469462795570733E+000  0.9116421974864273E+000  0.1375097523560572E+000
 -0.4933516182360757E-001  0.5269539102455353E+004  0.9831678088492801E+000  0.9718463158748121E+000  0.6933971217217555E-001
 -0.0000000000000000E+000  0.5359755532092665E+004  0.1000000000000000E+001  0.1000000000000000E+001  0.0000000000000000E+000
  0.4933516182360726E-001  0.5269539102455353E+004  0.9831678088492801E+000  0.9718463158748121E+000 -0.6933971217217555E-001
  0.9869702247200460E-001  0.5075400560450591E+004  0.9469462795570733E+000  0.9116421974864273E+000 -0.1375097523560572E+000
  0.1481123675637535E+000  0.4790336457476657E+004  0.8937602524580661E+000  0.8237070422157670E+000 -0.2034087027860669E+000
  0.1976081570115598E+000  0.4423943095668489E+004  0.8254001640894251E+000  0.7106266447094526E+000 -0.2657868947931828E+000
  0.2472116139465930E+000  0.3979404846082469E+004  0.7424601406267403E+000  0.5722343320930506E+000 -0.3231847045930502E+000
  0.2969503158059102E+000  0.3483347078749585E+004  0.6499078284246942E+000  0.4233628385622328E+000 -0.3754754900343437E+000
  0.3468522883554743E+000  0.2959711436881666E+004  0.5522101556982907E+000  0.2765440193699118E+000 -0.4222831818096377E+000
  0.3969461034670273E+000  0.2436757226454963E+004  0.4546396215022058E+000  0.1475567724326720E+000 -0.4627958068796412E+000
  0.4472609815263516E+000  0.1933163994657283E+004  0.3606813749399682E+000  0.4556913721071718E-001 -0.4968348136132782E+000
  0.4978268994248503E+000  0.1457592776396364E+004  0.2719513544356119E+000 -0.3065328966680049E-001 -0.5248359709922356E+000
  0.5486747051777497E+000  0.1021312294657224E+004  0.1905520295733455E+000 -0.8092760115887841E-001 -0.5470445051411217E+000
  0.5998362403231051E+000  0.6403595817073982E+003  0.1194755204548249E+000 -0.1021428361650948E+000 -0.5635469723824357E+000
  0.6513444713891422E+000  0.3110256897920979E+003  0.5802982765347526E-001 -0.1038504764881455E+000 -0.5749834258826950E+000
  0.7032336318771477E+000  0.2993947584489678E+002  0.5585977880078274E-002 -0.9275660299127265E-001 -0.5819403001542293E+000
  0.7555393763976995E+000 -0.2039376686649801E+003 -0.3804980795184786E-001 -0.7604903186721589E-001 -0.5849930847700646E+000
  0.8082989488253305E+000 -0.3936933951046811E+003 -0.7345361047670160E-001 -0.5735351391326581E-001 -0.5847160441617759E+000
  0.8615513666077448E+000 -0.5442721525985064E+003 -0.1015479436216003E+000 -0.3818654386748187E-001 -0.5816377224013162E+000
  0.9153376236893416E+000 -0.6607987908733746E+003 -0.1232889796776556E+000 -0.2048794001677451E-001 -0.5762938430622463E+000
  0.9697009148958486E+000 -0.7480320909105568E+003 -0.1395645914130891E+000 -0.6087311044591796E-002 -0.5692510977766064E+000
  0.1024686885090945E+001 -0.8096008455620691E+003 -0.1510518232994795E+000  0.5524825575962281E-002 -0.5608290027762679E+000
  0.1080343906973821E+001 -0.8501879977887713E+003 -0.1586243985752879E+000  0.1459868313307070E-001 -0.5513537688091383E+000
  0.1136723392060015E+001 -0.8741249445423898E+003 -0.1630904505454367E+000  0.2125753492050471E-001 -0.5412239555410356E+000
  0.1193880140203451E+001 -0.8840097743552903E+003 -0.1649347193285395E+000  0.2580869799598701E-001 -0.5306132199003292E+000
  0.1251872734009593E+001 -0.8816693063802643E+003 -0.1644980449390058E+000  0.2862617124917762E-001 -0.5196810333195192E+000
  0.1310763985701542E+001 -0.8707398915781739E+003 -0.1624588820076654E+000  0.2986914086113657E-001 -0.5086242163441073E+000
  0.1370621445488756E+001 -0.8528154806506021E+003 -0.1591146229607283E+000  0.3014936113885087E-001 -0.4975269667796230E+000
  0.1431517982324093E+001 -0.8301334391937966E+003 -0.1548827057919336E+000  0.3006575427203524E-001 -0.4864551520895939E+000
  0.1493532450213090E+001 -0.8047191418602780E+003 -0.1501410161418469E+000  0.3011416682812638E-001 -0.4754952679741924E+000
  0.1556750456082946E+001 -0.7773648756439129E+003 -0.1450373754902210E+000  0.3050335558176434E-001 -0.4646779989457112E+000
  0.1621265248790119E+001 -0.7495833879441420E+003 -0.1398540257024511E+000  0.3096788065159327E-001 -0.4540268558112341E+000
  0.1687178753360829E+001 -0.7223182798443365E+003 -0.1347670197865003E+000  0.3164336958141718E-001 -0.4435750760128039E+000
  0.1754602780308218E+001 -0.6957829470541319E+003 -0.1298161721906876E+000  0.3199237786350086E-001 -0.4333297984268651E+000
  0.1823660447245902E+001 -0.6695751346860235E+003 -0.1249264319383228E+000  0.3185102089068832E-001 -0.4232904376315005E+000
  0.1894487859556550E+001 -0.6425095445886166E+003 -0.1198766512281121E+000  0.3140055861675070E-001 -0.4134593824373057E+000
  0.1967236109316446E+001 -0.6151266860715980E+003 -0.1147676759487252E+000  0.3048450806726125E-001 -0.4037768319238165E+000
  0.2042073668056045E+001 -0.5896540080846102E+003 -0.1100150938888784E+000  0.2877904511712775E-001 -0.3939772709572917E+000
  0.2119189270711276E+001 -0.5639228266043446E+003 -0.1052142813655843E+000  0.2680384012416940E-001 -0.3842196380065871E+000
  0.2198795417376278E+001 -0.5415598965381643E+003 -0.1010419026195244E+000  0.2596812941419566E-001 -0.3736287306600434E+000
  0.2281132659227008E+001 -0.5212524516953463E+003 -0.9725302741407467E-001  0.2604336763886024E-001 -0.3635364576036211E+000
  0.2366474889688444E+001 -0.5021784359048489E+003 -0.9369428006519137E-001  0.2711277947214961E-001 -0.3535761093453156E+000
  0.2455135938197958E+001 -0.4846874016039618E+003 -0.9043087855440307E-001  0.2734772921853919E-001 -0.3428099793196212E+000
  0.2547477871846564E+001 -0.4701289393932105E+003 -0.8771462365740647E-001  0.2664642619913000E-001 -0.3322679199604678E+000
  0.2643921565343055E+001 -0.4587937085608278E+003 -0.8559974532676050E-001  0.2594750004563160E-001 -0.3209377134446967E+000
  0.2744960326751236E+001 -0.4464853140524876E+003 -0.8330329832751938E-001  0.2724731697113248E-001 -0.3082499407922636E+000
  0.2851177705029830E+001 -0.4333355044255869E+003 -0.8084986373555647E-001  0.2847214836923916E-001 -0.2962981676040955E+000
  0.2963271121313795E+001 -0.4242963460003445E+003 -0.7916337666145047E-001  0.2998841702901462E-001 -0.2810855941870878E+000
  0.3082083770964572E+001 -0.4135098110413221E+003 -0.7715087163310808E-001  0.3016237085620460E-001 -0.2663398993242042E+000
  0.3208648533869367E+001 -0.3995413365456089E+003 -0.7454469409160008E-001  0.2747693177166896E-001 -0.2533343206679972E+000
  0.3344249762496272E+001 -0.3814170855750265E+003 -0.7116314975397876E-001  0.2539338217157162E-001 -0.2381017414761326E+000
  0.3490512463486501E+001 -0.3494043352821548E+003 -0.6519034929672123E-001  0.2404327774816835E-001 -0.2245187701914534E+000
  0.3649534877908924E+001 -0.3222699503956176E+003 -0.6012773315237205E-001  0.2505497672586360E-001 -0.2114487776411978E+000
  0.3824092563544655E+001 -0.2988924740123712E+003 -0.5576606474356704E-001  0.2515098875730275E-001 -0.1965104888183470E+000
  0.4017965911485440E+001 -0.2892270953542857E+003 -0.5396274020754818E-001  0.2557392146690411E-001 -0.1782168633340550E+000
  0.4236493172080578E+001 -0.2663971066822639E+003 -0.4970321968738223E-001  0.2437981847341578E-001 -0.1610711687620219E+000
  0.4487565524699555E+001 -0.2430735448915784E+003 -0.4535161043001389E-001  0.2349252325070991E-001 -0.1435733372471499E+000
  0.4783570351942771E+001 -0.2182792449345428E+003 -0.4072559720822150E-001  0.1402213273662460E-001 -0.1307575856714878E+000
  0.5145628218613484E+001 -0.1854803900475054E+003 -0.3460612875660140E-001  0.1669330862897773E-001 -0.1190144709941049E+000
  0.5614408347232188E+001 -0.9467532140265646E+002 -0.1766411188640378E-001  0.1304449131509771E-001 -0.1102178396114717E+000
  0.6285577857227058E+001 -0.1072379384689613E+003 -0.2000799063070163E-001  0.1516803898359484E-001 -0.1175569283837049E+000
  0.7500000000000004E+001 -0.1999667543571031E+003 -0.3730893193910806E-001  0.1548171117002946E-001 -0.9862963305299467E-001
