 zeta2/L_fil Omega_SH Omega_SH/Omega_SH0 ISHf/ISHf u/dU
 -0.7500000000000004E+001 -0.1999667543571031E+003 -0.3730893193910806E-001  0.1548171117002946E-001  0.9862963305299467E-001
 -0.6285577857227052E+001 -0.1072379384689613E+003 -0.2000799063070163E-001  0.1516803898359484E-001  0.1175569283837049E+000
 -0.5614408347232192E+001 -0.9467532140265646E+002 -0.1766411188640378E-001  0.1304449131509771E-001  0.1102178396114717E+000
 -0.5145628218613484E+001 -0.1854803900475054E+003 -0.3460612875660140E-001  0.1669330862897773E-001  0.1190144709941049E+000
 -0.4783570351942771E+001 -0.2182792449345428E+003 -0.4072559720822150E-001  0.1402213273662460E-001  0.1307575856714878E+000
 -0.4487565524699555E+001 -0.2430735448915784E+003 -0.4535161043001389E-001  0.2349252325070991E-001  0.1435733372471499E+000
 -0.4236493172080579E+001 -0.2663971066822639E+003 -0.4970321968738223E-001  0.2437981847341578E-001  0.1610711687620219E+000
 -0.4017965911485440E+001 -0.2892270953542857E+003 -0.5396274020754818E-001  0.2557392146690411E-001  0.1782168633340550E+000
 -0.3824092563544655E+001 -0.2988924740123712E+003 -0.5576606474356704E-001  0.2515098875730275E-001  0.1965104888183470E+000
 -0.3649534877908923E+001 -0.3222699503956176E+003 -0.6012773315237205E-001  0.2505497672586360E-001  0.2114487776411978E+000
 -0.3490512463486502E+001 -0.3494043352821548E+003 -0.6519034929672123E-001  0.2404327774816835E-001  0.2245187701914534E+000
 -0.3344249762496272E+001 -0.3814170855750265E+003 -0.7116314975397876E-001  0.2539338217157162E-001  0.2381017414761326E+000
 -0.3208648533869367E+001 -0.3995413365456089E+003 -0.7454469409160008E-001  0.2747693177166896E-001  0.2533343206679972E+000
 -0.3082083770964571E+001 -0.4135098110413221E+003 -0.7715087163310808E-001  0.3016237085620460E-001  0.2663398993242042E+000
 -0.2963271121313795E+001 -0.4242963460003445E+003 -0.7916337666145047E-001  0.2998841702901462E-001  0.2810855941870878E+000
