 zeta2/L_fil Omega_SH Omega_SH/Omega_SH0 ISHf/ISHf u/dU
 -0.7500000000000004E+001 -0.1252799626009493E+003 -0.2070709453274336E-001  0.7429456202702743E-002  0.1210289558122392E+000
 -0.6285577857227052E+001 -0.1268189907047153E+003 -0.2096147519962416E-001  0.1279616001890526E-001  0.1105340228184358E+000
 -0.5614408347232191E+001 -0.1838276869557071E+003 -0.3038424671032378E-001  0.1291022931572423E-001  0.1242266184289918E+000
 -0.5145628218613484E+001 -0.2331260980790862E+003 -0.3853261168627344E-001  0.2017669536651102E-001  0.1422072720792440E+000
 -0.4783570351942771E+001 -0.2778383007962037E+003 -0.4592293803382873E-001  0.2207875657832660E-001  0.1643151657871890E+000
 -0.4487565524699555E+001 -0.3068222368445021E+003 -0.5071359322898404E-001  0.2245014967101561E-001  0.1886268208247930E+000
 -0.4236493172080579E+001 -0.3161228653420795E+003 -0.5225086215463587E-001  0.2007289727845519E-001  0.2041888926883085E+000
 -0.4017965911485440E+001 -0.3346502013980040E+003 -0.5531318186790043E-001  0.1936530606549894E-001  0.2212416417675374E+000
 -0.3824092563544655E+001 -0.3568099935368166E+003 -0.5897589776530172E-001  0.2210889183618272E-001  0.2396352988248540E+000
 -0.3649534877908923E+001 -0.3775227396676732E+003 -0.6239943640037082E-001  0.2510431709902489E-001  0.2542907440401126E+000
 -0.3490512463486503E+001 -0.3841681045083158E+003 -0.6349782592015434E-001  0.2638375360635376E-001  0.2691961813497199E+000
 -0.3344249762496272E+001 -0.3967834975203216E+003 -0.6558298088224031E-001  0.2507079163215551E-001  0.2853992597124123E+000
 -0.3208648533869367E+001 -0.4097012377495022E+003 -0.6771810977693107E-001  0.2328895966963890E-001  0.2992785726955470E+000
 -0.3082083770964571E+001 -0.4192399419016623E+003 -0.6929472940945604E-001  0.2147223401086514E-001  0.3138628962890899E+000
 -0.2963271121313795E+001 -0.4269714582020558E+003 -0.7057264517180063E-001  0.1967801429201915E-001  0.3264286916740198E+000
 -0.2851177705029830E+001 -0.4436595098521618E+003 -0.7333095588575539E-001  0.1873130492994451E-001  0.3372680332252328E+000
 -0.2744960326751236E+001 -0.4616364159415608E+003 -0.7630229692123405E-001  0.1994243730420514E-001  0.3482626122704203E+000
 -0.2643921565343055E+001 -0.4819413041283370E+003 -0.7965842211820290E-001  0.2170150144869860E-001  0.3588484279388764E+000
 -0.2547477871846564E+001 -0.5020618976461696E+003 -0.8298408588261326E-001  0.2335837823938414E-001  0.3687603380233767E+000
 -0.2455135938197958E+001 -0.5247692832106542E+003 -0.8673731161570963E-001  0.2431462984406446E-001  0.3788601904754139E+000
 -0.2366474889688444E+001 -0.5521560027371974E+003 -0.9126396838032109E-001  0.2540624993863524E-001  0.3883857103658819E+000
 -0.2281132659227008E+001 -0.5796992751818085E+003 -0.9581650123881467E-001  0.2617435907100609E-001  0.3983172252332194E+000
 -0.2198795417376278E+001 -0.6101002364869977E+003 -0.1008413716695156E+000  0.2596723852297119E-001  0.4079154796470454E+000
 -0.2119189270711276E+001 -0.6403970315814414E+003 -0.1058490248251771E+000  0.2549580990540147E-001  0.4176500068117875E+000
 -0.2042073668056044E+001 -0.6706792804282138E+003 -0.1108542736815447E+000  0.2513173470696290E-001  0.4275376219075627E+000
 -0.1967236109316446E+001 -0.7011771523090995E+003 -0.1158951621282995E+000  0.2456905885203371E-001  0.4375597351897634E+000
 -0.1894487859556550E+001 -0.7323895524338383E+003 -0.1210541524932270E+000  0.2408888403660392E-001  0.4476881044975000E+000
 -0.1823660447245902E+001 -0.7623049312268398E+003 -0.1259987626590414E+000  0.2358162195953434E-001  0.4579018721802543E+000
 -0.1754602780308218E+001 -0.7908340548216461E+003 -0.1307142434665804E+000  0.2306883199756122E-001  0.4681907258673245E+000
 -0.1687178753360829E+001 -0.8172159786305308E+003 -0.1350748209996875E+000  0.2302767530205532E-001  0.4785435212968157E+000
 -0.1621265248790119E+001 -0.8410125867506263E+003 -0.1390080805862268E+000  0.2329596476657254E-001  0.4889511962780299E+000
 -0.1556750456082945E+001 -0.8627812449395212E+003 -0.1426061472970562E+000  0.2363794212359602E-001  0.4993919458537712E+000
 -0.1493532450213090E+001 -0.8822742625408259E+003 -0.1458280811946928E+000  0.2385252460090140E-001  0.5098547158484187E+000
 -0.1431517982324093E+001 -0.8993012262649363E+003 -0.1486424095207940E+000  0.2335200000618704E-001  0.5203396222403373E+000
 -0.1370621445488756E+001 -0.9116178669437173E+003 -0.1506781847362905E+000  0.2202164776423254E-001  0.5307872216196859E+000
 -0.1310763985701541E+001 -0.9172935287865764E+003 -0.1516162953796527E+000  0.1967214482809075E-001  0.5411358549816511E+000
 -0.1251872734009593E+001 -0.9159513268944963E+003 -0.1513944474409696E+000  0.1601160413826782E-001  0.5513322625347097E+000
 -0.1193880140203451E+001 -0.9055530008883259E+003 -0.1496757438660180E+000  0.1057303983097467E-001  0.5613017933567661E+000
 -0.1136723392060015E+001 -0.8825763808179642E+003 -0.1458780172865856E+000  0.2937501059322281E-002  0.5708022627266431E+000
 -0.1080343906973821E+001 -0.8436815214312842E+003 -0.1394492196286301E+000 -0.6927192023606735E-002  0.5796793859449890E+000
